"CBSA","DIV","CSA","Type","Population","CBSA Name","Div Name","CSA Name"
"19580",,,"Micro","38,311","Defiance, OH",,
"19620",,,"Micro","48,976","Del Rio, TX",,
"19660",,"422","Metro","623,675","Deltona-Daytona Beach-Ormond Beach, FL",,"Orlando-Lakeland-Deltona, FL"
"19700",,,"Micro","24,319","Deming, NM",,
"19740",,"216","Metro","2,798,684","Denver-Aurora-Lakewood, CO",,"Denver-Aurora, CO"
"19760",,"217","Micro","36,598","DeRidder, LA",,"DeRidder-Fort Polk South, LA"
"19780",,"218","Metro","623,113","Des Moines-West Des Moines, IA",,"Des Moines-Ames-West Des Moines, IA"
"19820","19804","220","Metro","4,304,613","Detroit-Warren-Dearborn, MI","Detroit-Dearborn-Livonia, MI","Detroit-Warren-Ann Arbor, MI"
"19820","47664","220","Metro","4,304,613","Detroit-Warren-Dearborn, MI","Warren-Troy-Farmington Hills, MI","Detroit-Warren-Ann Arbor, MI"
"19860",,,"Micro","30,316","Dickinson, ND",,
"19940",,"221","Micro","34,670","Dixon, IL",,"Dixon-Sterling, IL"
"19980",,,"Micro","34,658","Dodge City, KS",,
"20020",,"222","Metro","147,790","Dothan, AL",,"Dothan-Ozark, AL"
"20060",,,"Micro","43,048","Douglas, GA",,
"20100",,"428","Metro","173,145","Dover, DE",,"Philadelphia-Reading-Camden, PA-NJ-DE-MD"
"20140",,,"Micro","57,251","Dublin, GA",,
"20180",,"524","Micro","80,539","DuBois, PA",,"State College-DuBois, PA"
"20220",,,"Metro","96,571","Dubuque, IA",,
"20260",,,"Metro","279,205","Duluth, MN-WI",,
"20300",,,"Micro","22,016","Dumas, TX",,
"20340",,,"Micro","44,293","Duncan, OK",,
"20420",,,"Micro","54,469","Durango, CO",,
"20460",,"206","Micro","45,068","Durant, OK",,"Dallas-Fort Worth, TX-OK"
"20500",,"450","Metro","550,281","Durham-Chapel Hill, NC",,"Raleigh-Durham-Cary, NC"
"20540",,,"Micro","37,751","Dyersburg, TN",,
"20580",,,"Micro","57,471","Eagle Pass, TX",,
"20660",,"548","Micro","37,461","Easton, MD",,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
"20700",,"408","Metro","167,306","East Stroudsburg, PA",,"New York-Newark, NY-NJ-CT-PA"
"20740",,"232","Metro","165,833","Eau Claire, WI",,"Eau Claire-Menomonie, WI"
"20780",,"233","Micro","53,726","Edwards, CO",,"Edwards-Glenwood Springs, CO"
"20820",,,"Micro","34,164","Effingham, IL",,
"20900",,"288","Micro","41,430","El Campo, TX",,"Houston-The Woodlands, TX"
"20940",,,"Metro","179,957","El Centro, CA",,
"20980",,,"Micro","40,022","El Dorado, AR",,
"21020",,"545","Micro","63,388","Elizabeth City, NC",,"Virginia Beach-Norfolk, VA-NC"
"21060",,"350","Metro","150,253","Elizabethtown-Fort Knox, KY",,"Louisville/Jefferson County--Elizabethtown--Bardstown, KY-IN"
"21120",,,"Micro","22,971","Elk City, OK",,
"21140",,"515","Metro","202,924","Elkhart-Goshen, IN",,"South Bend-Elkhart-Mishawaka, IN-MI"
"21180",,,"Micro","29,152","Elkins, WV",,
"21220",,,"Micro","54,105","Elko, NV",,
"21260",,,"Micro","43,726","Ellensburg, WA",,
"21300",,"236","Metro","86,883","Elmira, NY",,"Elmira-Corning, NY"
"21340",,"238","Metro","838,527","El Paso, TX",,"El Paso-Las Cruces, TX-NM"
"21380",,,"Micro","33,302","Emporia, KS",,
"21420",,,"Metro","62,421","Enid, OK",,
"21460",,,"Micro","51,073","Enterprise, AL",,
"21500",,"240","Metro","277,794","Erie, PA",,"Erie-Meadville, PA"
"21540",,,"Micro","36,395","Escanaba, MI",,
"21580",,"106","Micro","39,455","Española, NM",,"Albuquerque-Santa Fe-Las Vegas, NM"
"21640",,,"Micro","28,341","Eufaula, AL-GA",,
"21660",,,"Metro","363,471","Eugene-Springfield, OR",,
"21700",,,"Micro","135,490","Eureka-Arcata, CA",,
"21740",,,"Micro","20,758","Evanston, WY",,
